Nama;Email;NIK;Jenis_Dokumen;Tanggal_Permohonan;Status;Tanggal_Selesai
Hendro Hartono;hendrohartono20@gmail.com;4549091740;KTP;09/08/2024;Ditolak;9/15/2024
Siti Andriani;sitiandriani34@gmail.com;3851591849;Akta Kelahiran;10/01/2024;Disetujui;10/02/2024
Budi Sirait;budisirait56@gmail.com;775940616;Akta Kelahiran;9/26/2024;Ditolak;9/27/2024
Budi Andriani;budiandriani86@gmail.com;7966289130;Akta Kematian;7/27/2024;Ditolak;7/31/2024
Susan Hartono;susanhartono40@gmail.com;7306394055;KTP;11/08/2024;Ditolak;11/14/2024
Taufik Saputra;taufiksaputra27@gmail.com;4919191055;KTP;10/26/2024;Ditolak;11/01/2024
Dewi Hidayat;dewihidayat16@gmail.com;3246308635;Kartu Keluarga;07/10/2024;Ditolak;7/15/2024
Taufik Wijaya;taufikwijaya23@gmail.com;2503423249;Kartu Keluarga;6/20/2024;Disetujui;6/24/2024
Rina Susanto;rinasusanto27@gmail.com;4600166351;Akta Kematian;5/15/2025;Disetujui;5/21/2025
Rudi Sirait;rudisirait13@gmail.com;1205492687;Akta Kematian;02/02/2025;Disetujui;02/06/2025
Agus Prasetyo;agusprasetyo90@gmail.com;5351071698;KTP;6/30/2024;Disetujui;07/01/2024
Hendro Pranoto;hendropranoto94@gmail.com;7520135307;Kartu Keluarga;3/16/2025;Diproses;3/17/2025
Siti Hartono;sitihartono44@gmail.com;1456823213;Akta Kelahiran;9/24/2024;Diproses;9/25/2024
Yulio Wijaya;yuliowijaya76@gmail.com;3248252727;KTP;06/05/2024;Ditolak;06/10/2024
Hadi Andriani;hadiandriani86@gmail.com;2912023719;Kartu Keluarga;1/15/2025;Disetujui;1/18/2025
Ani Hidayat;anihidayat74@gmail.com;1490164652;Kartu Keluarga;10/01/2024;Ditolak;10/08/2024
Budi Sirait;budisirait58@gmail.com;7213392075;Akta Kematian;12/27/2024;Disetujui;01/01/2025
Rina Wijaya;rinawijaya92@gmail.com;6854490842;Akta Kematian;10/12/2024;Ditolak;10/15/2024
Siti Hutapea;sitihutapea27@gmail.com;5404238519;Kartu Keluarga;2/16/2025;Disetujui;2/17/2025
Budi Santoso;budisantoso49@gmail.com;8187841009;Kartu Keluarga;5/27/2024;Ditolak;06/03/2024
Ahmad Pranoto;ahmadpranoto85@gmail.com;5607981770;KTP;07/06/2024;Ditolak;07/12/2024
Nurul Hidayat;nurulhidayat92@gmail.com;5308022414;KTP;3/19/2025;Diproses;3/20/2025
Dedi Sirait;dedisirait68@gmail.com;3016758186;KTP;01/04/2025;Disetujui;01/05/2025
Lia Andriani;liaandriani84@gmail.com;5857446148;Akta Kelahiran;04/08/2025;Ditolak;4/13/2025
Lia Gunawan;liagunawan96@gmail.com;1344119896;Kartu Keluarga;12/13/2024;Disetujui;12/15/2024
Rudi Gunawan;rudigunawan80@gmail.com;3356210087;KTP;11/21/2024;Diproses;11/25/2024
Ahmad Hutapea;ahmadhutapea35@gmail.com;5116964383;Akta Kelahiran;11/06/2024;Ditolak;11/09/2024
Rita Hartono;ritahartono91@gmail.com;1884699854;Kartu Keluarga;07/02/2024;Disetujui;07/06/2024
Maya Andriani;mayaandriani12@gmail.com;7943996667;Akta Kelahiran;12/29/2024;Disetujui;01/03/2025
Hendro Sirait;hendrosirait42@gmail.com;8251803075;KTP;08/02/2024;Diproses;08/09/2024
Lia Saputra;liasaputra70@gmail.com;1597504469;Akta Kelahiran;06/09/2024;Diproses;6/16/2024
Ahmad Gunawan;ahmadgunawan56@gmail.com;5598865835;Akta Kelahiran;9/15/2024;Ditolak;9/16/2024
Rini Setiawan;rinisetiawan57@gmail.com;3649807644;KTP;06/09/2024;Disetujui;6/13/2024
Wati Pranoto;watipranoto22@gmail.com;3862265707;Kartu Keluarga;1/26/2025;Disetujui;1/28/2025
Siti Hutapea;sitihutapea60@gmail.com;7819371348;Akta Kelahiran;03/11/2025;Ditolak;3/17/2025
Susan Prasetyo;susanprasetyo52@gmail.com;8589627831;Akta Kematian;6/24/2024;Ditolak;6/26/2024
Adi Gunawan;adigunawan90@gmail.com;3036290921;Kartu Keluarga;12/25/2024;Disetujui;01/01/2025
Rini Sirait;rinisirait25@gmail.com;1051428549;Akta Kelahiran;08/04/2024;Disetujui;08/09/2024
Ani Gunawan;anigunawan93@gmail.com;3540194318;Akta Kematian;09/11/2024;Disetujui;9/18/2024
Bambang Santoso;bambangsantoso82@gmail.com;302947194;Akta Kematian;7/18/2024;Diproses;7/19/2024
Taufik Hidayat;taufikhidayat79@gmail.com;1285508142;KTP;12/26/2024;Diproses;12/30/2024
Fitri Prasetyo;fitriprasetyo20@gmail.com;4187350663;Akta Kelahiran;2/16/2025;Ditolak;2/19/2025
Dedi Santoso;dedisantoso79@gmail.com;7615449607;Akta Kematian;12/08/2024;Disetujui;12/10/2024
Muhammad Pranoto;muhammadpranoto91@gmail.com;4660861447;Akta Kematian;12/21/2024;Diproses;12/22/2024
Iwan Wijaya;iwanwijaya81@gmail.com;5960907781;Kartu Keluarga;02/01/2025;Ditolak;02/04/2025
Siti Kurniawan;sitikurniawan64@gmail.com;3814617631;Akta Kelahiran;01/07/2025;Diproses;1/14/2025
Adi Hutapea;adihutapea77@gmail.com;6338089107;KTP;06/08/2024;Diproses;6/15/2024
Agus Setiawan;agussetiawan16@gmail.com;6341678524;Akta Kelahiran;4/25/2025;Disetujui;05/01/2025
Dedi Kurniawan;dedikurniawan50@gmail.com;6135512974;Akta Kelahiran;3/26/2025;Disetujui;3/28/2025
Dewi Sirait;dewisirait77@gmail.com;537217513;Akta Kematian;03/10/2025;Diproses;3/13/2025
Rini Hidayat;rinihidayat77@gmail.com;5173781993;Akta Kematian;06/10/2024;Disetujui;6/13/2024
Siti Nugroho;sitinugroho23@gmail.com;8323385620;KTP;11/12/2024;Ditolak;11/19/2024
Yulio Nugroho;yulionugroho48@gmail.com;8325542574;Akta Kematian;5/17/2024;Ditolak;5/21/2024
Hadi Setiawan;hadisetiawan53@gmail.com;6231829245;Akta Kelahiran;01/07/2025;Ditolak;1/13/2025
Budi Pranoto;budipranoto72@gmail.com;5411022721;Kartu Keluarga;04/10/2025;Diproses;4/14/2025
Agus Andriani;agusandriani68@gmail.com;8945687377;Akta Kematian;4/27/2025;Disetujui;05/01/2025
Iwan Saputra;iwansaputra84@gmail.com;9532455276;Akta Kelahiran;5/21/2024;Disetujui;5/22/2024
Susan Setiawan;susansetiawan12@gmail.com;6884231681;Kartu Keluarga;04/09/2025;Diproses;04/12/2025
Siti Sirait;sitisirait62@gmail.com;9741972785;Kartu Keluarga;2/20/2025;Disetujui;2/22/2025
Rina Saputra;rinasaputra45@gmail.com;2438348086;Akta Kematian;6/27/2024;Diproses;6/28/2024
Susan Santoso;susansantoso24@gmail.com;6014565667;Kartu Keluarga;01/07/2025;Disetujui;01/09/2025
Adi Hidayat;adihidayat62@gmail.com;6988925166;Akta Kelahiran;1/21/2025;Disetujui;1/28/2025
Adi Pranoto;adipranoto15@gmail.com;4611231156;Akta Kematian;12/05/2024;Disetujui;12/09/2024
Rina Nugroho;rinanugroho35@gmail.com;9518097527;Akta Kematian;08/06/2024;Ditolak;8/13/2024
Dedi Gunawan;dedigunawan64@gmail.com;6423891971;Akta Kelahiran;7/19/2024;Ditolak;7/23/2024
Iwan Santoso;iwansantoso92@gmail.com;2929220602;Akta Kelahiran;11/28/2024;Disetujui;12/02/2024
Dewi Wijaya;dewiwijaya75@gmail.com;1233567380;Akta Kelahiran;11/02/2024;Diproses;11/04/2024
Budi Hartono;budihartono62@gmail.com;5140825112;Akta Kelahiran;9/14/2024;Diproses;9/21/2024
Siti Santoso;sitisantoso10@gmail.com;3377885723;Akta Kematian;9/21/2024;Ditolak;9/28/2024
Rudi Wijaya;rudiwijaya68@gmail.com;5248831598;KTP;8/17/2024;Disetujui;8/23/2024
Nurul Hutapea;nurulhutapea13@gmail.com;1130807602;Kartu Keluarga;8/18/2024;Diproses;8/23/2024
Rudi Santoso;rudisantoso10@gmail.com;3924402730;KTP;08/04/2024;Ditolak;08/11/2024
Taufik Wijaya;taufikwijaya93@gmail.com;5811396076;Kartu Keluarga;10/30/2024;Diproses;11/04/2024
Iwan Andriani;iwanandriani86@gmail.com;4395006619;Akta Kelahiran;2/26/2025;Ditolak;03/05/2025
Budi Kurniawan;budikurniawan93@gmail.com;2695222161;KTP;1/24/2025;Diproses;1/26/2025
Siti Nugroho;sitinugroho93@gmail.com;3803526866;KTP;2/23/2025;Ditolak;03/02/2025
Muhammad Kurniawan;muhammadkurniawan97@gmail.com;6769307528;KTP;10/13/2024;Disetujui;10/20/2024
Dedi Gunawan;dedigunawan63@gmail.com;6783104470;KTP;01/08/2025;Disetujui;1/13/2025
Agus Andriani;agusandriani47@gmail.com;9647408819;Akta Kematian;12/14/2024;Disetujui;12/17/2024
Lia Nugroho;lianugroho51@gmail.com;1632314207;Kartu Keluarga;01/11/2025;Ditolak;1/16/2025
Yulio Santoso;yuliosantoso47@gmail.com;6336657948;Akta Kematian;2/15/2025;Disetujui;2/22/2025
Nurul Santoso;nurulsantoso56@gmail.com;475773089;Akta Kelahiran;03/07/2025;Ditolak;03/11/2025
Agus Prasetyo;agusprasetyo28@gmail.com;3646756183;Kartu Keluarga;6/27/2024;Disetujui;07/04/2024
Budi Nugroho;budinugroho45@gmail.com;6963121356;Akta Kematian;8/31/2024;Disetujui;09/03/2024
Erni Sirait;ernisirait83@gmail.com;3946906160;Akta Kelahiran;1/28/2025;Disetujui;02/03/2025
Siti Santoso;sitisantoso66@gmail.com;4843713908;Akta Kelahiran;7/21/2024;Disetujui;7/24/2024
Taufik Andriani;taufikandriani66@gmail.com;602103229;Akta Kelahiran;10/14/2024;Disetujui;10/21/2024
Indah Wijaya;indahwijaya39@gmail.com;3057615853;KTP;12/25/2024;Ditolak;12/26/2024
Adi Hartono;adihartono64@gmail.com;511227548;Akta Kelahiran;08/04/2024;Diproses;08/07/2024
Muhammad Setiawan;muhammadsetiawan82@gmail.com;9626934380;KTP;8/19/2024;Disetujui;8/25/2024
Dedi Hidayat;dedihidayat95@gmail.com;2703997268;Kartu Keluarga;1/24/2025;Ditolak;1/27/2025
Budi Pranoto;budipranoto85@gmail.com;3534225122;Akta Kematian;4/29/2025;Diproses;05/06/2025
Indah Gunawan;indahgunawan82@gmail.com;855911697;Kartu Keluarga;1/20/2025;Ditolak;1/24/2025
Adi Pranoto;adipranoto67@gmail.com;5831746190;Akta Kelahiran;09/08/2024;Ditolak;09/12/2024
Indah Prasetyo;indahprasetyo53@gmail.com;3070958993;Akta Kematian;3/25/2025;Ditolak;3/31/2025
Ahmad Hidayat;ahmadhidayat78@gmail.com;8096321345;Akta Kelahiran;5/28/2024;Disetujui;06/02/2024
Slamet Pranoto;slametpranoto35@gmail.com;6732979790;Akta Kematian;08/03/2024;Diproses;08/07/2024
Dewi Andriani;dewiandriani70@gmail.com;7976614785;Akta Kelahiran;06/08/2024;Diproses;06/10/2024
Susan Pranoto;susanpranoto69@gmail.com;1373896834;Akta Kelahiran;8/28/2024;Diproses;8/29/2024
Rina Andriani;rinaandriani34@gmail.com;9191556425;Akta Kematian;10/21/2024;Diproses;10/23/2024
Rita Hartono;ritahartono47@gmail.com;1119856712;KTP;7/28/2024;Disetujui;08/04/2024
Rita Saputra;ritasaputra63@gmail.com;562929918;Kartu Keluarga;08/06/2024;Disetujui;08/12/2024
Slamet Andriani;slametandriani79@gmail.com;8328480828;KTP;8/22/2024;Diproses;8/26/2024
Nurul Pranoto;nurulpranoto47@gmail.com;4919210316;Akta Kelahiran;09/09/2024;Diproses;9/14/2024
Bambang Sirait;bambangsirait17@gmail.com;6416784338;Akta Kematian;6/28/2024;Diproses;6/30/2024
Rini Susanto;rinisusanto49@gmail.com;6429608794;Akta Kelahiran;10/29/2024;Diproses;11/05/2024
Iwan Andriani;iwanandriani18@gmail.com;7959244221;KTP;10/21/2024;Diproses;10/22/2024
Dedi Setiawan;dedisetiawan25@gmail.com;302940682;KTP;10/22/2024;Diproses;10/26/2024
Nurul Wijaya;nurulwijaya96@gmail.com;3431146217;Akta Kematian;01/04/2025;Diproses;01/11/2025
Hendro Santoso;hendrosantoso82@gmail.com;5016241367;Akta Kematian;04/08/2025;Ditolak;4/15/2025
Siti Hutapea;sitihutapea99@gmail.com;7105766249;Akta Kematian;11/15/2024;Ditolak;11/21/2024
Yuni Susanto;yunisusanto71@gmail.com;8672728302;Kartu Keluarga;07/06/2024;Disetujui;7/13/2024
Iwan Andriani;iwanandriani19@gmail.com;8989268315;KTP;11/06/2024;Disetujui;11/08/2024
Budi Setiawan;budisetiawan13@gmail.com;7132281424;KTP;3/15/2025;Diproses;3/21/2025
Rita Wijaya;ritawijaya72@gmail.com;9296510326;Akta Kelahiran;05/05/2025;Diproses;05/12/2025
Iwan Hartono;iwanhartono16@gmail.com;1635127555;Akta Kematian;6/15/2024;Diproses;6/17/2024
Ani Kurniawan;anikurniawan44@gmail.com;2500285752;Kartu Keluarga;7/24/2024;Diproses;7/27/2024
Susan Andriani;susanandriani42@gmail.com;9813997168;KTP;10/27/2024;Diproses;10/31/2024
Adi Wijaya;adiwijaya62@gmail.com;7299435411;KTP;1/22/2025;Ditolak;1/26/2025
Lia Sirait;liasirait69@gmail.com;7304527476;Akta Kematian;3/27/2025;Diproses;04/02/2025
Yulio Hidayat;yuliohidayat96@gmail.com;9277360400;KTP;11/03/2024;Ditolak;11/07/2024
Iwan Hartono;iwanhartono42@gmail.com;9276108799;Kartu Keluarga;11/28/2024;Diproses;12/01/2024
Ahmad Santoso;ahmadsantoso78@gmail.com;1665653236;KTP;8/27/2024;Ditolak;8/30/2024
Hadi Gunawan;hadigunawan14@gmail.com;9544994666;Kartu Keluarga;2/14/2025;Disetujui;2/19/2025
Eko Setiawan;ekosetiawan73@gmail.com;9962690313;Kartu Keluarga;9/19/2024;Disetujui;9/23/2024
Rita Pranoto;ritapranoto42@gmail.com;1528597294;Akta Kematian;10/02/2024;Ditolak;10/07/2024
Yuni Pranoto;yunipranoto65@gmail.com;3741705371;KTP;12/19/2024;Ditolak;12/24/2024
Budi Gunawan;budigunawan31@gmail.com;3680315317;Kartu Keluarga;3/25/2025;Disetujui;3/29/2025
Rudi Setiawan;rudisetiawan24@gmail.com;8260539039;KTP;11/01/2024;Disetujui;11/04/2024
Erni Susanto;ernisusanto93@gmail.com;7884780150;Akta Kelahiran;10/03/2024;Disetujui;10/04/2024
Susan Kurniawan;susankurniawan12@gmail.com;4997693573;Akta Kematian;5/15/2025;Diproses;5/17/2025
Yuni Hidayat;yunihidayat74@gmail.com;3098297877;Akta Kematian;10/05/2024;Diproses;10/09/2024
Eko Santoso;ekosantoso28@gmail.com;8448851854;KTP;9/17/2024;Diproses;9/19/2024
Maya Saputra;mayasaputra16@gmail.com;6182222286;Akta Kematian;5/25/2024;Ditolak;5/26/2024
Indah Setiawan;indahsetiawan66@gmail.com;5334745821;Akta Kelahiran;1/27/2025;Ditolak;1/30/2025
Ahmad Susanto;ahmadsusanto36@gmail.com;8769529185;KTP;10/05/2024;Ditolak;10/07/2024
Ahmad Hartono;ahmadhartono41@gmail.com;3288743681;Akta Kelahiran;3/13/2025;Ditolak;3/17/2025
Ani Hartono;anihartono18@gmail.com;3267537367;Akta Kematian;11/09/2024;Diproses;11/11/2024
Rudi Wijaya;rudiwijaya80@gmail.com;7447508403;Akta Kelahiran;9/18/2024;Diproses;9/25/2024
Nurul Hidayat;nurulhidayat25@gmail.com;4136069930;Kartu Keluarga;03/10/2025;Diproses;3/13/2025
Rini Gunawan;rinigunawan54@gmail.com;9736931973;Akta Kelahiran;12/02/2024;Ditolak;12/09/2024
Fitri Santoso;fitrisantoso16@gmail.com;9744581770;KTP;10/24/2024;Disetujui;10/25/2024
Susan Nugroho;susannugroho57@gmail.com;5381418403;Akta Kelahiran;07/12/2024;Diproses;7/15/2024
Muhammad Sirait;muhammadsirait66@gmail.com;5043801057;KTP;02/01/2025;Diproses;02/02/2025
Indah Sirait;indahsirait54@gmail.com;5342381353;KTP;07/08/2024;Ditolak;7/15/2024
Siti Saputra;sitisaputra37@gmail.com;3837805196;Kartu Keluarga;12/19/2024;Diproses;12/21/2024
Adi Pranoto;adipranoto92@gmail.com;4549117552;Akta Kelahiran;09/08/2024;Diproses;9/15/2024
Nurul Hidayat;nurulhidayat19@gmail.com;3494553249;Akta Kelahiran;09/08/2024;Ditolak;9/13/2024
Iwan Setiawan;iwansetiawan56@gmail.com;8092198947;Akta Kematian;6/28/2024;Diproses;6/29/2024
Muhammad Santoso;muhammadsantoso72@gmail.com;6699360402;Akta Kematian;5/15/2025;Disetujui;5/16/2025
Yulio Pranoto;yuliopranoto41@gmail.com;452709650;Akta Kelahiran;2/14/2025;Ditolak;2/17/2025
Taufik Susanto;taufiksusanto98@gmail.com;731583125;Akta Kelahiran;04/06/2025;Disetujui;04/10/2025
Dewi Hutapea;dewihutapea22@gmail.com;3762531232;Kartu Keluarga;1/22/2025;Diproses;1/26/2025
Slamet Sirait;slametsirait56@gmail.com;6438217712;Akta Kelahiran;7/29/2024;Diproses;08/04/2024
Ahmad Kurniawan;ahmadkurniawan43@gmail.com;4480587290;Kartu Keluarga;01/02/2025;Disetujui;01/04/2025
Yuni Gunawan;yunigunawan30@gmail.com;7841163638;Akta Kelahiran;11/20/2024;Disetujui;11/25/2024
Fitri Hutapea;fitrihutapea21@gmail.com;9424617846;Akta Kematian;08/01/2024;Ditolak;08/04/2024
Siti Andriani;sitiandriani65@gmail.com;7515402591;Kartu Keluarga;10/11/2024;Diproses;10/17/2024
Bambang Gunawan;bambanggunawan28@gmail.com;6727308151;KTP;4/15/2025;Ditolak;4/21/2025
Dedi Hartono;dedihartono97@gmail.com;8688433350;Akta Kelahiran;03/02/2025;Diproses;03/04/2025
Siti Andriani;sitiandriani16@gmail.com;3278079760;Akta Kelahiran;7/24/2024;Disetujui;7/28/2024
Hadi Hidayat;hadihidayat33@gmail.com;4650870293;Akta Kematian;8/22/2024;Disetujui;8/26/2024
Rita Wijaya;ritawijaya72@gmail.com;4793912935;Kartu Keluarga;5/26/2024;Disetujui;5/29/2024
Dewi Gunawan;dewigunawan88@gmail.com;2768079414;Kartu Keluarga;06/02/2024;Diproses;06/07/2024
Slamet Kurniawan;slametkurniawan72@gmail.com;3818617742;Akta Kelahiran;9/13/2024;Ditolak;9/15/2024
Rini Pranoto;rinipranoto70@gmail.com;3018401711;Akta Kelahiran;11/22/2024;Disetujui;11/27/2024
Lia Gunawan;liagunawan77@gmail.com;8470772102;Akta Kelahiran;01/06/2025;Diproses;01/07/2025
Susan Wijaya;susanwijaya60@gmail.com;1310829088;Akta Kematian;06/01/2024;Ditolak;06/04/2024
Hadi Sirait;hadisirait88@gmail.com;796538991;KTP;3/25/2025;Diproses;3/31/2025
Agus Nugroho;agusnugroho10@gmail.com;3755460033;Akta Kelahiran;3/16/2025;Disetujui;3/21/2025
Dewi Gunawan;dewigunawan16@gmail.com;1944308550;KTP;01/11/2025;Disetujui;1/17/2025
Rudi Saputra;rudisaputra87@gmail.com;1048576564;KTP;01/03/2025;Diproses;01/06/2025
Hadi Setiawan;hadisetiawan56@gmail.com;4975308283;Akta Kelahiran;1/27/2025;Disetujui;02/01/2025
Rini Hartono;rinihartono56@gmail.com;2842596451;Kartu Keluarga;3/15/2025;Ditolak;3/20/2025
Iwan Saputra;iwansaputra23@gmail.com;7892650935;Akta Kelahiran;8/26/2024;Ditolak;8/28/2024
Iwan Sirait;iwansirait94@gmail.com;7475123179;Akta Kematian;4/20/2025;Diproses;4/26/2025
Fitri Kurniawan;fitrikurniawan36@gmail.com;202868043;Kartu Keluarga;03/07/2025;Ditolak;03/10/2025
Siti Gunawan;sitigunawan74@gmail.com;9553598083;Akta Kematian;7/19/2024;Ditolak;7/26/2024
Indah Hartono;indahhartono51@gmail.com;9528426200;Kartu Keluarga;5/27/2024;Ditolak;5/30/2024
Susan Wijaya;susanwijaya87@gmail.com;6406369816;Akta Kelahiran;09/10/2024;Diproses;9/16/2024
Eko Saputra;ekosaputra89@gmail.com;3575241811;Kartu Keluarga;08/10/2024;Diproses;8/16/2024
Hendro Susanto;hendrosusanto92@gmail.com;3714305887;KTP;12/06/2024;Diproses;12/09/2024
Muhammad Sirait;muhammadsirait25@gmail.com;540075608;Akta Kelahiran;1/30/2025;Disetujui;02/01/2025
Slamet Hutapea;slamethutapea63@gmail.com;7235405869;KTP;8/26/2024;Diproses;8/28/2024
Adi Andriani;adiandriani85@gmail.com;3915620685;Kartu Keluarga;4/23/2025;Disetujui;4/25/2025
Rini Wijaya;riniwijaya41@gmail.com;438561779;Akta Kelahiran;12/26/2024;Ditolak;12/31/2024
Ani Pranoto;anipranoto89@gmail.com;5601439343;Akta Kematian;07/06/2024;Disetujui;7/13/2024
Hendro Nugroho;hendronugroho21@gmail.com;9978542709;Akta Kematian;3/19/2025;Diproses;3/24/2025
Ani Prasetyo;aniprasetyo68@gmail.com;7050347242;Kartu Keluarga;2/23/2025;Disetujui;2/26/2025
Indah Santoso;indahsantoso59@gmail.com;6998722749;Akta Kematian;8/25/2024;Disetujui;8/30/2024
Eko Prasetyo;ekoprasetyo16@gmail.com;8878291855;Akta Kelahiran;12/28/2024;Disetujui;12/29/2024
Rina Wijaya;rinawijaya72@gmail.com;9299893800;Akta Kelahiran;01/09/2025;Diproses;1/14/2025
Wati Nugroho;watinugroho66@gmail.com;9443709092;KTP;7/16/2024;Ditolak;7/20/2024
Dedi Prasetyo;dediprasetyo50@gmail.com;5628704566;Akta Kelahiran;5/31/2024;Diproses;06/03/2024
Rini Hidayat;rinihidayat24@gmail.com;3511229082;KTP;9/28/2024;Ditolak;10/01/2024
Susan Prasetyo;susanprasetyo81@gmail.com;826771960;KTP;06/07/2024;Disetujui;06/08/2024
Iwan Santoso;iwansantoso40@gmail.com;1513325307;Akta Kematian;12/01/2024;Disetujui;12/05/2024
Iwan Gunawan;iwangunawan79@gmail.com;2319470051;Kartu Keluarga;08/06/2024;Diproses;08/11/2024
Iwan Setiawan;iwansetiawan36@gmail.com;9781015127;Akta Kelahiran;8/16/2024;Disetujui;8/20/2024
Siti Nugroho;sitinugroho18@gmail.com;7322922986;Akta Kelahiran;12/14/2024;Disetujui;12/19/2024
Hadi Setiawan;hadisetiawan56@gmail.com;5623222604;Akta Kelahiran;5/13/2025;Ditolak;5/17/2025
Ani Gunawan;anigunawan74@gmail.com;5905654442;Akta Kelahiran;5/31/2024;Ditolak;06/01/2024
Rini Hidayat;rinihidayat41@gmail.com;3440161950;Akta Kematian;4/29/2025;Diproses;05/04/2025
Fitri Gunawan;fitrigunawan57@gmail.com;3199537717;KTP;12/05/2024;Ditolak;12/12/2024
Maya Nugroho;mayanugroho60@gmail.com;4606365;Akta Kelahiran;3/30/2025;Disetujui;04/06/2025
Yulio Prasetyo;yulioprasetyo38@gmail.com;7519778303;Kartu Keluarga;11/06/2024;Ditolak;11/12/2024
Iwan Susanto;iwansusanto10@gmail.com;3055575375;Akta Kematian;2/23/2025;Diproses;03/01/2025
Erni Hutapea;ernihutapea85@gmail.com;2821456585;KTP;01/06/2025;Diproses;01/10/2025
Slamet Wijaya;slametwijaya45@gmail.com;499201825;Akta Kematian;12/08/2024;Disetujui;12/15/2024
Rudi Andriani;rudiandriani31@gmail.com;5416181642;Akta Kematian;8/24/2024;Ditolak;8/31/2024
Bambang Wijaya;bambangwijaya56@gmail.com;3649487333;KTP;2/13/2025;Diproses;2/15/2025
Taufik Prasetyo;taufikprasetyo94@gmail.com;4704203613;Kartu Keluarga;10/30/2024;Ditolak;11/03/2024
Muhammad Kurniawan;muhammadkurniawan81@gmail.com;3345014330;Akta Kelahiran;4/21/2025;Diproses;4/25/2025
Slamet Andriani;slametandriani33@gmail.com;2187478922;KTP;12/19/2024;Ditolak;12/21/2024
Ahmad Susanto;ahmadsusanto63@gmail.com;7829643037;Akta Kematian;9/29/2024;Ditolak;10/02/2024
Taufik Andriani;taufikandriani99@gmail.com;3419469032;Akta Kematian;1/25/2025;Ditolak;1/26/2025
Slamet Pranoto;slametpranoto48@gmail.com;9718533793;KTP;5/27/2024;Diproses;06/03/2024
Yulio Prasetyo;yulioprasetyo74@gmail.com;3367912061;Kartu Keluarga;1/31/2025;Ditolak;02/02/2025
Iwan Kurniawan;iwankurniawan49@gmail.com;1511903725;Akta Kelahiran;5/24/2024;Diproses;5/31/2024
Ahmad Santoso;ahmadsantoso16@gmail.com;2226079382;Akta Kelahiran;12/10/2024;Ditolak;12/11/2024
Fitri Hartono;fitrihartono14@gmail.com;9730241619;Kartu Keluarga;2/14/2025;Diproses;2/20/2025
Fitri Saputra;fitrisaputra95@gmail.com;4913531539;Kartu Keluarga;1/23/2025;Disetujui;1/27/2025
Rudi Kurniawan;rudikurniawan62@gmail.com;555281371;Kartu Keluarga;5/20/2024;Diproses;5/24/2024
Bambang Hidayat;bambanghidayat48@gmail.com;8691349842;KTP;6/28/2024;Ditolak;6/29/2024
Yulio Nugroho;yulionugroho13@gmail.com;8621371756;Akta Kematian;12/17/2024;Diproses;12/24/2024
Dedi Andriani;dediandriani37@gmail.com;8781917066;Kartu Keluarga;12/21/2024;Ditolak;12/27/2024
Agus Hidayat;agushidayat64@gmail.com;9553262238;Akta Kelahiran;8/30/2024;Diproses;09/06/2024
Dewi Hartono;dewihartono45@gmail.com;7492600558;Akta Kelahiran;7/27/2024;Ditolak;08/03/2024
Wati Hidayat;watihidayat49@gmail.com;9527655877;Akta Kelahiran;12/02/2024;Ditolak;12/07/2024
Bambang Wijaya;bambangwijaya64@gmail.com;7731860541;Kartu Keluarga;09/09/2024;Ditolak;9/14/2024
Indah Setiawan;indahsetiawan66@gmail.com;7441496453;Akta Kelahiran;08/10/2024;Diproses;8/15/2024
Yulio Gunawan;yuliogunawan23@gmail.com;7356398612;Kartu Keluarga;08/04/2024;Diproses;08/05/2024
Hendro Susanto;hendrosusanto62@gmail.com;2710240777;Akta Kematian;3/14/2025;Diproses;3/15/2025
Muhammad Sirait;muhammadsirait94@gmail.com;2719907399;Akta Kelahiran;03/01/2025;Diproses;03/06/2025
Dedi Santoso;dedisantoso98@gmail.com;3386342107;Akta Kematian;05/09/2025;Ditolak;5/15/2025
Indah Gunawan;indahgunawan21@gmail.com;8028820050;KTP;8/22/2024;Diproses;8/26/2024
Wati Andriani;watiandriani78@gmail.com;879336321;Akta Kematian;5/16/2024;Ditolak;5/19/2024
Rita Hartono;ritahartono95@gmail.com;2447280542;Akta Kelahiran;11/03/2024;Ditolak;11/10/2024
Dedi Saputra;dedisaputra34@gmail.com;7918366069;Akta Kematian;02/04/2025;Ditolak;02/10/2025
Maya Sirait;mayasirait26@gmail.com;2045895571;KTP;12/09/2024;Ditolak;12/12/2024
Dedi Hidayat;dedihidayat44@gmail.com;4422442275;Akta Kelahiran;3/16/2025;Diproses;3/20/2025
Dewi Hidayat;dewihidayat61@gmail.com;6612655994;Kartu Keluarga;10/25/2024;Disetujui;10/27/2024
Hadi Nugroho;hadinugroho28@gmail.com;1198706691;Kartu Keluarga;5/13/2025;Diproses;5/18/2025
Lia Santoso;liasantoso67@gmail.com;2220858702;KTP;5/27/2024;Diproses;5/28/2024
Fitri Sirait;fitrisirait80@gmail.com;9031408467;Akta Kematian;10/29/2024;Disetujui;10/31/2024
Yuni Hartono;yunihartono35@gmail.com;9310146617;Kartu Keluarga;4/25/2025;Diproses;05/01/2025
Hendro Hartono;hendrohartono72@gmail.com;6079858065;Akta Kematian;12/29/2024;Disetujui;01/01/2025
Yulio Gunawan;yuliogunawan23@gmail.com;249468918;Akta Kematian;07/01/2024;Ditolak;07/03/2024
